user_id,register_time,recently_logged,number_of_classes_join,number_of_classes_out,learn_time,school
用户44164,2020/6/15 16:45,2020/6/16 16:42,1,0,61.35,广东轻工职业技术学院
用户44165,2020/6/15 16:45,2020/6/16 12:28,1,0,53.67,广东轻工职业技术学院
用户44166,2020/6/15 16:45,2020/6/17 21:47,1,0,234.07,广东轻工职业技术学院
用户44167,2020/6/15 16:45,2020/6/15 20:06,1,0,354.97,广东轻工职业技术学院
用户44168,2020/6/15 16:45,2020/6/16 23:34,1,0,170.65,广东轻工职业技术学院
用户44163,2020/6/15 16:45,2020/6/17 14:52,2,1,475.3,广东轻工职业技术学院
用户44027,2020/6/12 16:00,--,0,0,58.35,湖南大众传媒职业技术学院
用户43972,2020/6/11 18:20,--,1,0,0,桂林电子科技大学
用户43973,2020/6/11 18:20,--,1,0,0,桂林电子科技大学
用户43967,2020/6/11 18:20,--,1,0,0,桂林电子科技大学
用户43968,2020/6/11 18:20,--,1,0,0,桂林电子科技大学
用户43969,2020/6/11 18:20,--,1,0,0,桂林电子科技大学
用户43970,2020/6/11 18:20,--,1,0,0,桂林电子科技大学
用户43971,2020/6/11 18:20,--,1,0,0,桂林电子科技大学
用户43966,2020/6/11 18:20,--,1,0,0,桂林电子科技大学
用户43962,2020/6/11 18:20,--,1,0,0,广西医科大学
用户43963,2020/6/11 18:20,--,1,0,0,广西职业技术学院
用户43964,2020/6/11 18:20,--,1,0,0,广西职业技术学院
用户43965,2020/6/11 18:20,--,1,0,0,广西职业技术学院
用户43958,2020/6/11 18:20,--,1,0,0,广西水利电力职业技术学院
用户43959,2020/6/11 18:20,--,1,0,0,广西医科大学
用户43960,2020/6/11 18:20,--,1,0,0,广西医科大学
用户43961,2020/6/11 18:20,--,1,0,0,广西医科大学
用户43957,2020/6/11 18:20,--,1,0,0,广西水利电力职业技术学院
用户43951,2020/6/11 18:20,--,1,0,0,广西师范大学
用户43952,2020/6/11 18:20,--,1,0,0,广西师范学院
用户43953,2020/6/11 18:20,--,2,0,0,广西师范学院
用户43954,2020/6/11 18:20,--,1,0,0,广西师范学院
用户43955,2020/6/11 18:20,--,1,0,0,广西师范学院
用户43956,2020/6/11 18:20,--,1,0,0,广西师院
用户43950,2020/6/11 18:20,--,1,0,0,广西师大
用户43945,2020/6/11 18:20,--,1,0,0,广西农业职业技术学院
用户43946,2020/6/11 18:20,--,1,0,0,广西农业职业技术学院
用户43947,2020/6/11 18:20,--,1,0,0,广西农业职业技术学院
用户43948,2020/6/11 18:20,--,1,0,0,广西钦州学院
用户43949,2020/6/11 18:20,--,1,0,0,广西师大
用户43942,2020/6/11 18:20,--,1,0,0,广西民族大学
用户43943,2020/6/11 18:20,--,1,0,0,广西民族师范学院
用户43944,2020/6/11 18:20,--,1,0,0,广西民族师范学院
用户43939,2020/6/11 18:20,--,1,0,0,广西民族大学
用户43940,2020/6/11 18:20,--,1,0,0,广西民族大学
用户43941,2020/6/11 18:20,--,1,0,0,广西民族大学
用户43934,2020/6/11 18:20,--,1,0,0,广西理工职业技术学院
用户43935,2020/6/11 18:20,--,1,0,0,广西民族大学
用户43936,2020/6/11 18:20,--,1,0,0,广西民族大学
用户43937,2020/6/11 18:20,--,1,0,0,广西民族大学
用户43938,2020/6/11 18:20,--,1,0,0,广西民族大学
用户43933,2020/6/11 18:20,--,1,0,0,广西科技大学
用户43927,2020/6/11 18:20,--,1,0,0,广西教育学院
用户43928,2020/6/11 18:20,--,1,0,0,广西教育学院
用户43929,2020/6/11 18:20,--,1,0,0,广西经济管理干部学院
用户43930,2020/6/11 18:20,--,1,0,0,广西科技大学
用户43931,2020/6/11 18:20,--,1,0,0,广西科技大学
用户43932,2020/6/11 18:20,--,1,0,0,广西科技大学
用户43926,2020/6/11 18:20,--,1,0,0,广西教育学院
用户43921,2020/6/11 18:20,--,1,0,0,广西机电职业技术学院
用户43922,2020/6/11 18:20,--,1,0,0,广西建设职业技术学院
用户43923,2020/6/11 18:20,--,1,0,0,广西交通职业技术学院
用户43924,2020/6/11 18:20,--,1,0,0,广西交通职业技术学院
用户43925,2020/6/11 18:20,--,1,0,0,广西交通职业技术学院
用户43918,2020/6/11 18:20,--,1,0,0,广西工学院
用户43919,2020/6/11 18:20,--,1,0,0,广西工学院
用户43920,2020/6/11 18:20,--,1,0,0,广西工业职业技术学院
用户43916,2020/6/11 18:20,--,1,0,0,广西电力职业技术学院
用户43917,2020/6/11 18:20,--,1,0,0,广西工学院
用户43910,2020/6/11 18:20,--,1,0,0,黄山学院
用户43911,2020/6/11 18:20,--,1,0,0,广西大学
用户43912,2020/6/11 18:20,--,1,0,0,广西电力职业技术学院
用户43913,2020/6/11 18:20,--,1,0,0,广西电力职业技术学院
用户43914,2020/6/11 18:20,--,1,0,0,广西电力职业技术学院
用户43915,2020/6/11 18:20,--,1,0,0,广西电力职业技术学院
